(que1) x-men@xmen93:~/que1$ python step2.py 
Loading CIFAR-10 data...
Training data: 15000 samples
Test data: 3000 samples

Training model...
Epoch 1/100 | Loss: 0.8787 | Acc: 0.6114 | LR: 0.01000
Epoch 89/100 | Loss: 0.4515 | Acc: 0.8277 | LR: 0.00011
Epoch 90/100 | Loss: 0.4514 | Acc: 0.8277 | LR: 0.00010
Epoch 91/100 | Loss: 0.4513 | Acc: 0.8280 | LR: 0.00010
Epoch 92/100 | Loss: 0.4509 | Acc: 0.8279 | LR: 0.00009
Epoch 93/100 | Loss: 0.4507 | Acc: 0.8277 | LR: 0.00009
Epoch 94/100 | Loss: 0.4515 | Acc: 0.8279 | LR: 0.00008
Epoch 95/100 | Loss: 0.4506 | Acc: 0.8277 | LR: 0.00008
Epoch 96/100 | Loss: 0.4506 | Acc: 0.8274 | LR: 0.00008
Epoch 97/100 | Loss: 0.4507 | Acc: 0.8283 | LR: 0.00007
Epoch 98/100 | Loss: 0.4510 | Acc: 0.8282 | LR: 0.00007
Epoch 99/100 | Loss: 0.4511 | Acc: 0.8273 | LR: 0.00007
Epoch 100/100 | Loss: 0.4503 | Acc: 0.8279 | LR: 0.00006

Evaluating model...

===== Evaluation Results =====
Test Accuracy: 0.8047
Airplane: Precision=0.7848, Recall=0.7730, F1=0.7788
Automobile: Precision=0.8515, Recall=0.8430, F1=0.8472
Bird: Precision=0.7785, Recall=0.7980, F1=0.7881

Saving visualizations and analysis...
Done! Check training_curves.png, confusion_matrix.png, and analysis.txt
